restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,66-hot-giant-portabella-steak-philly-rosemary-parmesan,#66 - Hot Giant - Portabella Steak Philly - Rosemary Parmesan,,1390,94,53,138,4350,25,1,255,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,66-hot-giant-portabella-steak-philly-wheat-sub,#66 - Hot Giant - Portabella Steak Philly - Wheat Sub,,1350,93,50,136,4150,22,1,245,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,66-hot-giant-portabella-steak-philly-white-sub,#66 - Hot Giant - Portabella Steak Philly - White Sub,,1330,90,49,136,4210,22,1,245,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,3-ham-and-provolone-kid-s-menu-wheat-sub,#3 - Ham and Provolone Kid's Menu - Wheat Sub,,220,14,5,31,700,2,0,20,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,3-ham-and-provolone-kid-s-menu-white-sub,#3 - Ham and Provolone Kid's Menu - White Sub,,220,13,5,31,720,2,0,20,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,7-turkey-and-provolone-kid-s-menu-wheat-sub,#7 - Turkey and Provolone Kid's Menu - Wheat Sub,,220,14,5,32,630,3,0,25,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,7-turkey-and-provolone-kid-s-menu-white-sub,#7 - Turkey and Provolone Kid's Menu - White Sub,,230,14,5,32,640,3,0,25,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,salami-cheese-kid-s-menu-wheat-sub,Salami & Cheese - Kid's Menu - Wheat Sub,,250,12,9,31,610,4,0,20,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,salami-cheese-kid-s-menu-white-sub,Salami & Cheese - Kid's Menu - White Sub,,250,11,9,31,630,4,0,20,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,mini-chocolate-chunk-cookie,Mini Chocolate Chunk Cookie,,150,2,7,19,110,4,0,20,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
