restaurant_name,food_name,calories,protein_g,total_fat_g,sodium_mg,total_carbs_g,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,food_id,food_name_cn,description,allergens,local_image_path,scraped_date
Shake Shack,"Hot Ones Burger, Single",590,37,38,1400,25,14,1,120,0,5,957779,,"Hot Ones Burger, Single, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Single SmokeShack,570,36,35,2010,28,13,1,120,0,7,941225,,"Single SmokeShack, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Bacon Cheeseburger, Single",500,35,29,1480,25,13,1,110,0,5,941188,,"Bacon Cheeseburger, Single, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Chicken Shack,550,33,31,1170,34,7,0,110,0,6,957783,,"Chicken Shack, Non-GMO Potato Bun, Chicken",,,2026-02-04
Shake Shack,"Golden State, Single",560,31,37,1310,26,13,1,100,0,5,941199,,"Golden State, Single, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Egg and Cheese Breakfast Sandwich,530,30,32,1220,28,14,0,260,0,8,941243,,"Egg and Cheese Breakfast Sandwich, Cage Free Eggs, Non-GMO Potato Bun, Breakfast",,,2026-02-04
Shake Shack,"Green Chile CheddarShack, Single",470,30,26,1380,28,12,1,100,1,6,941201,,"Green Chile CheddarShack, Single, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Bacon Cheeseburger, Double",760,58,47,2510,25,21,2,190,0,6,941189,,"Bacon Cheeseburger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Mound City Double,780,56,48,2380,26,20,1.5,185,0,6,941217,,"Mound City Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Roadside Double Burger,770,53,46,2300,32,20,2,175,0,7,941220,,"Roadside Double Burger, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Green Chile CheddarShack, Double",750,53,46,2190,28,22,1.5,185,1,6,941202,,"Green Chile CheddarShack, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Double ShackBurger,760,51,48,2280,27,20,2,185,0,6,941224,,"Double ShackBurger, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Double Cheeseburger,700,51,42,2220,25,20,2,175,0,5,941194,,"Double Cheeseburger, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Slap Shot Burger, Double",680,47,40,1840,33,15,1.5,145,0,6,957778,,"Slap Shot Burger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Hot Ones Chicken,680,44,41,1360,34,13,0,145,0,6,957786,,"Hot Ones Chicken, Non-GMO Potato Bun, Chicken",,,2026-02-04
Shake Shack,"Lockhart Link Burger, Triple",1300,83,92,4110,29,38,2.5,320,0,6,941213,,"Lockhart Link Burger, Triple, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Link Burger, Triple",1190,83,82,4070,28,34,2.5,305,0,7,941210,,"Link Burger, Triple, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Brat Burger, Double",1050,62,73,2530,34,25,2,205,0,6,941191,,"Brat Burger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Lockhart Link Burger, Double",1040,61,74,3080,28,29,2,235,0,5,941212,,"Lockhart Link Burger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Link Burger, Double",930,61,64,3040,28,26,2,220,0,6,941209,,"Link Burger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,"Hot Ones Burger, Double",860,61,56,2210,25,23,1.5,205,0,5,957780,,"Hot Ones Burger, Double, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Double SmokeShack,830,58,53,3030,28,22,2,200,0,7,941226,,"Double SmokeShack, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Montlake Double Cut,980,54,68,2470,36,31,2,240,0,5,941216,,"Montlake Double Cut, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Burger King,Fat Free Milk,90,9,0,125,13,0,0,,0,12,11681,,"Fat Free Milk, Drinks & Coffee",,,2026-02-04
Burger King,"Soft Serve, Cup",170,5,4.5,150,28,3,0,20,0,24,11658,,"Soft Serve, Cup, Sweets",,,2026-02-04
Burger King,"Sides, 1 Crispy Taco",170,5,9,360,19,3,0,10,2,1,926544,,"Sides, 1 Crispy Taco, Chicken & Fish",,,2026-02-04
Burger King,"Jalapeno Cheddar Bites, 4 Piece",160,4,9,450,17,3.5,0,10,1,,951999,,"Jalapeno Cheddar Bites, 4 Piece, Sides",,,2026-02-04
Burger King,"Soft Serve, Cone",140,3,4,100,24,3,0,15,0,17,11657,,"Soft Serve, Cone, Sweets",,,2026-02-04
Burger King,Simply Orange Juice,140,2,0,20,33,0,0,0,0,30,952005,,"Simply Orange Juice, Drinks & Coffee",,,2026-02-04
Burger King,"Iced Coffee Plain, Small",150,1,8,30,21,4,0,25,0,21,952004,,"Iced Coffee Plain, Small, Drinks & Coffee",,,2026-02-04
Burger King,Value Sprite,200,0,0,90,49,0,0,0,0,49,952017,,"Value Sprite, Drinks & Coffee",,,2026-02-04
Burger King,Bacon Double Cheeseburger,400,24,22,670,27,11,0,85,,7,11474,,"Bacon Double Cheeseburger, Flame Grilled Burgers",,,2026-02-04
Burger King,Double Cheeseburger,390,23,21,590,27,9,0,85,,7,170894,,"Double Cheeseburger, Flame Grilled Burgers",,,2026-02-04
Burger King,Bacon Cheeseburger,320,17,16,710,27,7,0,55,,7,11442,,"Bacon Cheeseburger, Flame Grilled Burgers",,,2026-02-04
Burger King,"Ham, Egg & Cheese Croissan'Wich",340,16,16,1000,31,7,0,175,1,5,879,,"Ham, Egg & Cheese Croissan'Wich, Breakfast",,,2026-02-04
Burger King,"Chicken Nuggets, 8 Piece",340,16,22,630,21,3.5,0,45,1,0,951993,,"Chicken Nuggets, 8 Piece, Chicken & Fish",,,2026-02-04
Burger King,Breakfast Burrito Jr.,370,15,23,930,27,8,0,170,3,2,926505,,"Breakfast Burrito Jr., Breakfast",,,2026-02-04
Burger King,Cheeseburger,280,15,13,560,27,6,0,45,,7,8,,"Cheeseburger, Flame Grilled Burgers",,,2026-02-04
Burger King,"Ham, Egg & Cheese Biscuit Sandwich",370,13,23,1290,29,12,0,185,,3,882,,"Ham, Egg & Cheese Biscuit Sandwich, Breakfast",,,2026-02-04
Burger King,"Sausage, Egg & Cheese French Toast Sandwich",590,30,38,1510,30,14,0,475,2,10,951985,,"Sausage, Egg & Cheese French Toast Sandwich, Breakfast",,,2026-02-04
Burger King,"Fully Loaded Croissan'Wich (Bacon, Ham, Sausage)",570,27,37,1650,32,15,0,195,1,5,150521,,"Fully Loaded Croissan'Wich (Bacon, Ham, Sausage), Breakfast",,,2026-02-04
Burger King,"Bacon, Sausage, Egg & Cheese Biscuit King Croissan'Wich",580,23,40,1260,31,16,0,245,1,5,951980,,"Bacon, Sausage, Egg & Cheese Biscuit King Croissan'Wich, Breakfast",,,2026-02-04
Burger King,"Spicy Nuggets, 10 Piece",530,20,37,1420,28,7,0,55,4,,926492,,"Spicy Nuggets, 10 Piece, Chicken & Fish",,,2026-02-04
Burger King,"Chicken Nuggets, 10 Piece",480,20,27,1010,39,4.5,0,55,2,11,29249,,"Chicken Nuggets, 10 Piece, Chicken & Fish",,,2026-02-04
Burger King,"Sausage, Egg & Cheese Croissan'Wich",520,18,35,910,30,13,0,165,1,4,881,,"Sausage, Egg & Cheese Croissan'Wich, Breakfast",,,2026-02-04
Burger King,"Sausage, Egg & Cheese Biscuit Sandwich",520,18,37,1400,29,17,0,165,,3,885,,"Sausage, Egg & Cheese Biscuit Sandwich, Breakfast",,,2026-02-04
Burger King,Big Fish Sandwich,510,16,28,1180,51,4.5,0,30,2,7,60385,,"Big Fish Sandwich, Chicken & Fish",,,2026-02-04
Burger King,"Build Your Own Sandwich, Whopper (Plain)",730,49,40,660,47,17,0,130,2,8,951986,,"Build Your Own Sandwich, Whopper (Plain), Flame Grilled Burgers",,,2026-02-04
Burger King,"Flame Grilled Burgers, Stacker King Single",790,40,49,1710,49,20,0,145,1,11,926487,,"Flame Grilled Burgers, Stacker King Single, Flame Grilled Burgers",,,2026-02-04
Burger King,"Bacon, Sausage, Egg & Cheese Biscuit Sandwich",770,35,56,2550,35,26,1,440,1,4,951979,,"Bacon, Sausage, Egg & Cheese Biscuit Sandwich, Breakfast",,,2026-02-04
Burger King,"Double Sausage, Egg & Cheese Croissan'Wich",790,33,59,1780,32,24,1,260,1,5,951983,,"Double Sausage, Egg & Cheese Croissan'Wich, Breakfast",,,2026-02-04
Burger King,BBQ Bacon Crispy Chicken Sandwich,790,28,49,1630,60,10,0,80,2,13,170899,,"BBQ Bacon Crispy Chicken Sandwich, Chicken & Fish",,,2026-02-04
Burger King,Original Chicken Sandwich,660,28,40,1170,48,7,1,75,2,5,280,,"Original Chicken Sandwich, Chicken & Fish",,,2026-02-04
Burger King,Whopper,660,28,40,980,49,12,1,90,2,11,944749,,"Whopper, Flame Grilled Burgers",,,2026-02-04
Burger King,Fully Loaded Buttermilk Biscuit Sandwich,610,28,42,2170,31,20,0,225,,4,170897,,"Fully Loaded Buttermilk Biscuit Sandwich, Breakfast",,,2026-02-04
Burger King,Texas Double Whopper,1880,110,136,3080,58,51,2.5,355,4,13,951991,,"Texas Double Whopper, Flame Grilled Burgers",,,2026-02-04
