name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Crispy Chicken Nuggets Deluxe Combo,29414,New,https://www.tacobell.com/food/deals-and-combos/crispy-chicken-nuggets-deluxe-combo,https://www.tacobell.com/images/29414_crispy_chicken_nuggets_deluxe_combo_269x269.jpg,images/Crispy_Chicken_Nuggets_Deluxe_Combo.jpg,$11.99,,,1160-1580,,,,,,,,,,,False
10 Piece Crispy Chicken Nuggets Combo,29409,New,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets-combo,https://www.tacobell.com/images/29409_10pc_crispy_chicken_nuggets_combo_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets_Combo.jpg,$10.99,,,950-1370,,,,,,,,,,,False
10 Piece Crispy Chicken Nuggets,29405,New,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$7.99,,,620,26.0,3.0,0.0,105,"2,110",49,5,0,0,51,False
5 Piece Crispy Chicken Nuggets,29404,New,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$4.99,,,310,13.0,1.5,0.0,55,"1,050",25,3,0,0,25,False
Discovery Luxe Box,23833,New,https://www.tacobell.com/food/deals-and-combos/discovery-luxe-box,https://www.tacobell.com/images/23833_discovery_luxe_box_269x269.jpg,images/Discovery_Luxe_Box.jpg,$9.00,,,1200-1480,,,,,,,,,,,False
Steak Garlic Nacho Fries,23891,New,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$5.49,,,490,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,False
Volcano Quesarito,26086,New,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,,,640,,,,,,,,,,,False
Confetti Cookie Freeze,2388Main,New,https://www.tacobell.com/food/drinks/confetti-cookie-freeze,https://www.tacobell.com/images/2388_confetti_cookie_sprinkle_freeze_269x269.jpg,images/Confetti_Cookie_Freeze.jpg,$3.99,,,0,1.0,0.5,0.0,<5,80,55,0,53,53,0,False
Mountain Dew Baja Midnight™,3782Main,New,https://www.tacobell.com/food/drinks/mountain-dew-baja-midnight,https://www.tacobell.com/images/3782_mtn_dew_baja_blast_midnight_269x269.jpg,images/Mountain_Dew_Baja_Midnight.jpg,$2.79,,,0,,,,,,,,,,,False
Build Your Own Luxe Cravings Box,23622,Online exclusives,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,690-1940,,,,,,,,,,,False
