name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
Cheese Quesadilla,quesadillas,https://www.tacobell.com/food/quesadillas/cheese-quesadilla,https://www.tacobell.com/images/22320_cheese_quesadilla_269x269.jpg,images/Cheese_Quesadilla.jpg,$0.00,0,True,False,False,False,Cantina Chicken Quesadilla,
Nachos BellGrande®,nachos,https://www.tacobell.com/food/nachos/nachos-bellgrande,https://www.tacobell.com/images/22502_nachos_bellgrande_269x269.jpg,images/Nachos_BellGrande.jpg,$0.00,0,True,False,False,False,Nachos Bellgrande® with Jalapeño Peppers and Guacamole,
Chips and Nacho Supreme Dip,nachos,https://www.tacobell.com/food/deals-and-combos/chips-and-nacho-supreme-dip,https://www.tacobell.com/images/25509_chips_and_nacho_supreme_dip_new_269x269.jpg,images/Chips_and_Nacho_Supreme_Dip.jpg,$0.00,0,True,False,False,False,Steak Garlic Nacho Fries,
Chips and Guacamole,nachos,https://www.tacobell.com/food/nachos/chips-and-guacamole,https://www.tacobell.com/images/23318_new_chips_and_guacamole_269x269.jpg,images/Chips_and_Guacamole.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
Chips and Nacho Cheese Sauce,nachos,https://www.tacobell.com/food/nachos/chips-and-nacho-cheese-sauce,https://www.tacobell.com/images/22500_chips_and_nacho_cheese_sauce_269x269.jpg,images/Chips_and_Nacho_Cheese_Sauce.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Veggie Meal for 2,vegetarian,https://www.tacobell.com/food/party-packs/veggie-meal-for-2,https://www.tacobell.com/images/23219_veggie_meal_for_2_750x340.jpg,images/Veggie_Meal_for_2.jpg,$0.00,220-470,True,False,False,False,"At participating U.S. Taco Bell® locations. Contact restaurant for prices, hours & participation, which vary. Tax extra. 2,000 calories a day used for general nutrition advice, but calorie needs vary. Additional nutrition information available upon request.",
Veggie Bowl,vegetarian,https://www.tacobell.com/food/bowls/veggie-bowl,https://www.tacobell.com/images/29132_veggie_bowl_269x269.jpg,images/Veggie_Bowl.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
Bean Burrito,vegetarian,https://www.tacobell.com/food/burritos/bean-burrito,https://www.tacobell.com/images/22200_bean_burrito_269x269.jpg,images/Bean_Burrito.jpg,$0.00,0,True,False,False,False,Cheesy Bean and Rice Burrito,
Cheesy Bean and Rice Burrito,vegetarian,https://www.tacobell.com/food/cravings-value-menu/cheesy-bean-and-rice-burrito,https://www.tacobell.com/images/22283_cheesy_bean_and_rice_burrito_269x269.jpg,images/Cheesy_Bean_and_Rice_Burrito.jpg,$0.00,0,True,False,False,False,Cheesy Bean And Rice Burrito with Seasoned Beef,
Spicy Potato Soft Taco,vegetarian,https://www.tacobell.com/food/cravings-value-menu/spicy-potato-soft-taco,https://www.tacobell.com/images/22259_spicy_potato_soft_taco_269x269.jpg,images/Spicy_Potato_Soft_Taco.jpg,$0.00,0,True,False,False,False,Cheesy Gordita Crunch,
Black Bean Chalupa Supreme,vegetarian,https://www.tacobell.com/food/specialties/black-bean-chalupa,https://www.tacobell.com/images/23153_black_bean_chalupa_269x269.jpg,images/Black_Bean_Chalupa_Supreme.jpg,$0.00,0,True,False,False,False,Black Bean Crunchwrap Supreme®,
Black Bean Crunchwrap Supreme®,vegetarian,https://www.tacobell.com/food/specialties/black-bean-crunchwrap-supreme,https://www.tacobell.com/images/26051_vegetarian_crunchwrap_269x269.jpg,images/Black_Bean_Crunchwrap_Supreme.jpg,$0.00,0,True,False,False,False,Black Bean Chalupa Supreme,
Veggie Mexican Pizza,vegetarian,https://www.tacobell.com/food/specialties/veggie-mexican-pizza,https://www.tacobell.com/images/23326_veggie_mexican_pizza_269x269.jpg,images/Veggie_Mexican_Pizza.jpg,$0.00,0,True,False,False,False,Black Bean Crunchwrap Supreme®,
Cheese Quesadilla,vegetarian,https://www.tacobell.com/food/quesadillas/cheese-quesadilla,https://www.tacobell.com/images/22320_cheese_quesadilla_269x269.jpg,images/Cheese_Quesadilla.jpg,$0.00,0,True,False,False,False,Cantina Chicken Quesadilla,
Cheesy Roll Up,vegetarian,https://www.tacobell.com/food/sides/cheesy-roll-up,https://www.tacobell.com/images/22152_cheesy_roll_up_269x269.jpg,images/Cheesy_Roll_Up.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Cheesy Fiesta Potatoes,vegetarian,https://www.tacobell.com/food/sides/cheesy-fiesta-potatoes,https://www.tacobell.com/images/22530_cheesy_fiesta_potatoes_269x269.jpg,images/Cheesy_Fiesta_Potatoes.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Chips and Guacamole,vegetarian,https://www.tacobell.com/food/nachos/chips-and-guacamole,https://www.tacobell.com/images/23318_new_chips_and_guacamole_269x269.jpg,images/Chips_and_Guacamole.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
Chips and Nacho Cheese Sauce,vegetarian,https://www.tacobell.com/food/nachos/chips-and-nacho-cheese-sauce,https://www.tacobell.com/images/22500_chips_and_nacho_cheese_sauce_269x269.jpg,images/Chips_and_Nacho_Cheese_Sauce.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Black Beans,vegetarian,https://www.tacobell.com/food/sides-sweets/black-beans,https://www.tacobell.com/images/22394_black_beans_269x269.jpg,images/Black_Beans.jpg,$0.00,0,True,False,False,False,Cheesy Bean and Rice Burrito,
Black Beans and Rice,vegetarian,https://www.tacobell.com/food/sides-sweets/black-beans-and-rice,https://www.tacobell.com/images/22393_black_beans_and_rice_269x269.jpg,images/Black_Beans_and_Rice.jpg,$0.00,0,True,False,False,False,Cheesy Bean and Rice Burrito,
